Date,Open,High,Low,Close,Volume,Adj Close
2015-01-12,76.32,76.51,74.62,74.95,7118000,74.95
2015-01-09,78.15,78.20,76.07,77.54,5203800,77.54
2015-01-08,77.81,78.76,77.48,77.69,6734700,77.69
2015-01-07,77.94,78.28,76.00,77.01,5475300,77.01
2015-01-06,77.07,78.23,76.06,77.00,6038100,77.00
2015-01-05,79.38,79.38,76.91,77.66,6104700,77.66
2015-01-02,80.01,81.10,79.28,80.65,3634600,80.65
2014-12-31,80.63,81.32,79.81,80.61,3555800,80.61
2014-12-30,81.67,81.69,80.41,81.40,4135200,81.40
2014-12-29,82.57,83.10,81.23,81.71,4192900,81.71
2014-12-26,82.48,82.67,81.49,82.05,2665900,82.05
2014-12-24,82.17,82.50,81.02,82.24,3094700,82.24
2014-12-23,81.27,83.25,80.95,82.90,7762500,82.90
2014-12-22,81.19,81.48,79.21,80.79,7211900,80.79
2014-12-19,78.94,81.52,78.35,81.52,10499100,81.52
2014-12-18,79.62,79.99,77.08,79.17,8062100,79.17
2014-12-17,74.77,78.28,74.72,77.80,8763300,77.80
2014-12-16,72.47,76.51,72.32,74.41,8883700,74.41
2014-12-15,75.07,75.80,72.90,73.16,6563400,73.16
2014-12-12,73.96,75.71,73.35,74.22,7160300,74.22
2014-12-11,74.68,76.74,74.66,75.08,6034300,75.08
2014-12-10,75.65,76.24,74.36,75.14,7767400,75.14
2014-12-09,75.94,77.97,75.80,77.45,7587400,77.45
2014-12-08,79.30,79.50,75.79,76.11,9369900,76.11
2014-12-05,82.05,82.48,81.20,81.48,7164600,80.76
2014-12-04,82.15,82.97,81.86,82.54,6847700,81.81
2014-12-03,81.34,83.19,80.67,83.10,9073100,82.37
2014-12-02,78.97,81.43,78.80,80.69,11037100,79.98
2014-12-01,77.34,80.05,76.36,79.45,16706700,78.75
2014-11-28,82.25,82.41,78.51,79.77,9135900,75.88
2014-11-26,86.62,86.80,85.70,86.13,5878200,81.93
2014-11-25,88.23,88.37,86.14,86.36,7121700,82.15
2014-11-24,88.55,88.77,87.72,88.26,5872200,83.95
2014-11-21,88.04,88.32,86.93,87.60,7061900,83.33
2014-11-20,86.04,86.98,86.00,86.87,3900800,82.63
2014-11-19,86.43,86.72,85.39,86.04,4537600,81.84
2014-11-18,86.15,87.05,85.69,86.66,5178200,82.43
2014-11-17,86.50,86.50,85.72,85.90,7414900,81.71
2014-11-14,86.81,87.52,86.26,86.66,5695400,82.43
2014-11-13,87.68,88.25,85.08,86.29,8261700,82.08
2014-11-12,88.28,89.13,87.94,88.59,5747900,84.27
2014-11-11,87.79,89.31,87.06,89.11,5468900,84.76
2014-11-10,88.57,89.19,87.44,87.93,4772700,83.64
2014-11-07,86.48,88.45,86.24,88.04,5664200,83.74
2014-11-06,84.92,86.63,84.91,86.40,8039800,82.18
2014-11-05,86.16,86.92,85.08,86.47,4427100,82.25
2014-11-04,85.77,86.11,84.50,85.32,6065000,81.16
2014-11-03,88.99,89.38,86.90,87.14,5592900,82.89
2014-10-31,88.55,88.98,87.25,88.93,5544800,84.59
2014-10-30,88.42,88.80,86.78,87.93,4664400,83.64
2014-10-29,89.01,90.00,88.31,88.85,4859700,84.52
2014-10-28,86.90,88.20,86.78,88.14,6050900,83.84
2014-10-27,88.09,88.25,85.56,86.47,10257400,82.25
2014-10-24,90.95,91.00,89.36,89.52,4912300,85.15
2014-10-23,90.23,91.60,89.21,91.01,4490500,86.57
2014-10-22,90.33,91.70,89.59,89.70,4434300,85.32
2014-10-21,90.56,91.38,89.60,91.07,4238900,86.63
2014-10-20,88.14,88.88,87.62,88.74,3951000,84.41
2014-10-17,87.34,90.59,87.34,88.36,9205100,84.05
2014-10-16,83.55,87.15,83.28,86.44,9147600,82.22
2014-10-15,84.67,85.98,82.30,85.25,9675300,81.09
2014-10-14,88.47,89.07,86.10,86.55,6893700,82.33
2014-10-13,91.33,92.25,87.70,87.90,6808100,83.61
2014-10-10,92.57,93.15,90.61,91.56,6261800,87.09
2014-10-09,95.06,95.14,91.99,92.53,5706700,88.02
2014-10-08,94.62,95.66,92.83,95.56,5640500,90.90
2014-10-07,95.50,96.51,94.87,94.87,5582800,90.24
2014-10-06,96.28,97.14,95.75,97.08,5197300,92.34
2014-10-03,96.16,96.28,94.65,95.96,5412300,91.28
2014-10-02,93.83,95.82,93.24,95.22,5837100,90.57
2014-10-01,96.01,97.04,94.17,94.29,6372700,89.69
2014-09-30,97.43,97.48,95.70,96.15,5295700,91.46
2014-09-29,97.00,97.46,96.01,97.23,5378200,92.49
2014-09-26,96.64,98.52,96.59,98.35,4641600,93.55
2014-09-25,97.86,98.36,96.37,96.77,5578200,92.05
2014-09-24,97.52,99.15,96.30,98.41,5880200,93.61
2014-09-23,96.78,97.17,96.19,96.46,3859400,91.75
2014-09-22,97.55,97.62,96.16,96.91,3589700,92.18
2014-09-19,98.35,98.64,97.69,97.71,4114200,92.94
2014-09-18,98.50,98.69,97.59,97.87,2454800,93.10
2014-09-17,98.45,99.17,97.87,98.17,3839500,93.38
2014-09-16,97.43,99.21,97.40,98.56,3966600,93.75
2014-09-15,97.10,98.55,96.34,98.29,4564000,93.49
2014-09-12,98.00,98.13,97.05,97.40,3025700,92.65
2014-09-11,97.86,98.43,97.34,98.35,3277100,93.55
2014-09-10,98.46,98.60,97.59,98.54,3694600,93.73
2014-09-09,98.52,99.27,97.79,98.35,4330100,93.55
2014-09-08,100.25,100.32,98.11,98.55,5179800,93.74
2014-09-05,102.34,102.58,100.77,101.31,4964100,95.68
2014-09-04,102.65,103.47,101.91,102.37,3945600,96.68
2014-09-03,103.17,103.57,102.39,102.45,3104000,96.76
2014-09-02,103.43,103.69,102.08,102.36,2827600,96.67
2014-08-29,103.02,104.07,103.02,103.73,2590200,97.97
2014-08-28,103.24,104.48,103.09,104.01,2927600,98.23
2014-08-27,103.41,103.68,102.95,103.38,2327400,97.64
2014-08-26,103.57,103.70,103.10,103.15,2383400,97.42
2014-08-25,102.89,103.55,102.67,103.28,3322300,97.54
2014-08-22,102.24,102.82,101.95,102.44,3189800,96.75
2014-08-21,101.76,102.50,101.54,102.27,2777800,96.59
2014-08-20,101.36,101.90,100.92,101.74,1999700,96.09
2014-08-19,101.08,102.11,100.65,101.80,3294700,96.15
2014-08-18,100.78,100.91,99.49,100.60,3094400,95.01
2014-08-15,100.03,100.61,99.33,100.46,4457800,94.88
2014-08-14,100.29,100.82,99.74,99.97,3607200,94.42
2014-08-13,99.99,100.96,99.19,99.99,2561100,94.44
2014-08-12,99.40,100.38,99.05,99.81,3106000,94.27
2014-08-11,100.20,101.05,99.52,99.77,2575400,94.23
2014-08-08,98.65,99.85,98.36,99.80,3132000,94.26
2014-08-07,99.55,99.75,97.77,98.29,3400000,92.83
2014-08-06,98.92,100.55,98.72,99.41,3029900,93.89
2014-08-05,100.24,100.26,98.41,99.11,4913100,93.60
2014-08-04,98.76,101.23,98.62,100.75,5339200,95.15
2014-08-01,97.64,98.93,96.82,97.89,5405500,92.45
2014-07-31,98.83,99.09,97.48,97.71,5673000,92.28
2014-07-30,99.76,100.31,98.08,98.11,4426900,92.66
2014-07-29,99.55,99.94,99.26,99.33,2351200,93.81
2014-07-28,100.20,100.60,99.50,99.82,2439600,94.28
2014-07-25,100.38,100.93,100.00,100.09,2698800,94.53
2014-07-24,101.53,101.59,100.35,100.88,2451400,95.28
2014-07-23,101.25,101.73,100.73,101.60,1764500,95.96
2014-07-22,100.96,102.01,100.74,101.27,2677500,95.64
2014-07-21,101.16,101.16,100.03,100.58,2715800,94.99
2014-07-18,100.03,101.01,99.50,100.93,3530900,95.32
2014-07-17,101.88,102.17,99.83,99.95,2898700,94.40
2014-07-16,99.83,101.91,99.83,101.73,3231700,96.08
2014-07-15,101.30,101.53,99.27,99.52,3962000,93.99
2014-07-14,100.95,101.39,100.76,101.22,2721500,95.60
2014-07-11,100.55,100.72,99.73,100.48,3247000,94.90
2014-07-10,101.11,101.55,99.89,100.41,5027700,94.83
2014-07-09,102.07,102.29,101.45,101.95,2352600,96.29
2014-07-08,101.48,102.39,101.32,101.88,2656100,96.22
2014-07-07,102.27,102.32,101.29,101.59,3001500,95.95
2014-07-03,102.33,102.75,101.77,102.17,2516100,96.49
2014-07-02,102.74,102.93,101.28,102.24,5570800,96.56
2014-07-01,103.77,104.04,102.72,102.80,3453500,97.09
2014-06-30,101.89,103.15,101.89,102.63,4267500,96.93
2014-06-27,102.30,102.58,100.95,102.21,4396300,96.53
2014-06-26,102.84,102.84,101.29,102.64,2653700,96.94
2014-06-25,101.46,102.77,101.32,102.62,4933000,96.92
2014-06-24,105.37,105.38,101.13,101.45,5774900,95.81
2014-06-23,104.15,105.64,104.14,105.19,5206100,99.35
2014-06-20,103.59,104.14,103.22,104.00,7610600,98.22
2014-06-19,103.34,103.64,102.98,103.35,3290200,97.61
2014-06-18,102.64,103.37,101.98,103.25,2903200,97.51
2014-06-17,102.72,102.89,102.05,102.74,3492200,97.03
2014-06-16,103.35,103.80,103.03,103.35,4437700,97.61
2014-06-13,101.64,103.25,101.44,103.23,4527500,97.50
2014-06-12,100.39,101.65,100.29,101.25,5228900,95.63
2014-06-11,99.68,100.13,99.67,99.89,3160500,94.34
2014-06-10,100.00,100.27,99.68,99.98,2851100,94.43
2014-06-09,100.18,100.85,99.95,100.19,2520400,94.62
2014-06-06,100.56,100.87,100.02,100.38,3988800,94.80
2014-06-05,100.70,100.97,99.65,100.90,4846400,94.62
2014-06-04,99.83,100.33,99.56,100.16,3218500,93.92
2014-06-03,99.79,100.53,99.50,100.24,3135300,94.00
2014-06-02,99.79,100.47,99.40,99.76,3360000,93.55
2014-05-30,99.40,99.75,99.02,99.69,4493500,93.48
2014-05-29,99.15,99.88,98.91,99.83,5129000,93.61
2014-05-28,97.62,99.26,97.35,99.05,5949800,92.88
2014-05-27,97.07,97.57,96.41,97.45,3444700,91.38
2014-05-23,97.50,97.69,96.91,96.97,2689300,90.93
2014-05-22,97.60,98.03,97.00,97.23,2853400,91.17
2014-05-21,95.62,97.84,95.50,97.59,4187200,91.51
2014-05-20,95.80,96.27,95.38,95.46,3232500,89.51
2014-05-19,95.71,96.35,95.68,95.94,2760200,89.96
2014-05-16,97.11,97.11,95.32,95.69,4108100,89.73
2014-05-15,97.07,97.27,96.11,97.06,3667200,91.01
2014-05-14,97.02,97.53,96.85,97.38,2646300,91.31
2014-05-13,96.75,98.12,96.47,97.52,3713700,91.45
2014-05-12,96.50,96.73,96.14,96.42,3703400,90.41
2014-05-09,95.82,96.35,95.36,96.11,3845700,90.12
2014-05-08,96.38,96.50,95.06,95.19,2782300,89.26
2014-05-07,96.21,96.39,95.39,96.23,3528500,90.24
2014-05-06,94.80,96.15,94.51,95.83,4851400,89.86
2014-05-05,94.83,95.38,93.80,94.70,5888700,88.80
2014-05-02,94.88,95.17,94.40,94.44,3674300,88.56
2014-05-01,95.74,95.80,94.93,94.99,3270600,89.07
2014-04-30,96.73,96.73,95.47,95.75,2929200,89.79
2014-04-29,97.25,98.21,96.81,96.87,3409600,90.84
2014-04-28,96.78,97.23,96.15,96.68,4402500,90.66
2014-04-25,97.14,97.18,96.28,96.37,2556000,90.37
2014-04-24,97.07,97.38,96.25,97.14,2054400,91.09
2014-04-23,96.67,97.51,96.60,96.77,3112000,90.74
2014-04-22,97.21,97.68,96.78,96.93,3430800,90.89
2014-04-21,96.73,97.50,96.60,97.45,2843400,91.38
2014-04-17,95.41,96.78,95.40,96.60,4802800,90.58
2014-04-16,95.65,95.97,95.13,95.81,3970100,89.84
2014-04-15,94.35,95.17,93.74,94.90,4184400,88.99
2014-04-14,94.02,94.78,93.31,94.32,3066000,88.45
2014-04-11,94.09,95.08,93.33,93.33,5327000,87.52
2014-04-10,95.79,96.39,94.35,94.44,4322900,88.56
2014-04-09,95.40,96.03,94.82,95.97,3242100,89.99
2014-04-08,93.82,95.01,93.27,94.95,3437900,89.04
2014-04-07,94.72,94.81,93.56,93.59,4633900,87.76
2014-04-04,96.95,96.98,94.35,94.55,5852300,88.66
2014-04-03,96.45,96.66,96.03,96.51,3718100,90.50
2014-04-02,94.61,96.30,94.38,96.02,6856000,90.04
2014-04-01,95.39,95.40,94.61,94.90,4596300,88.99
2014-03-31,96.02,96.05,95.03,95.29,4043900,89.35
2014-03-28,95.05,95.59,94.30,95.55,4443000,89.60
2014-03-27,93.54,94.83,93.05,94.64,4555600,88.75
2014-03-26,94.82,94.95,93.38,93.54,5489600,87.71
2014-03-25,94.55,95.13,94.15,94.65,4524400,88.75
2014-03-24,94.39,94.61,93.27,93.87,4570200,88.02
2014-03-21,93.37,95.04,92.71,94.07,11448000,88.21
2014-03-20,94.74,94.75,91.20,92.93,11330600,87.14
2014-03-19,97.25,97.38,94.53,95.14,4789600,89.21
2014-03-18,97.11,97.84,96.57,97.26,3014600,91.20
2014-03-17,96.64,97.00,96.38,96.85,2549300,90.82
2014-03-14,95.40,96.57,95.29,96.52,3075400,90.51
2014-03-13,96.71,96.92,95.53,95.81,2732000,89.84
2014-03-12,95.86,96.48,95.55,96.39,3172700,90.39
2014-03-11,97.40,97.47,96.08,96.41,2595800,90.40
2014-03-10,97.14,97.37,96.62,97.22,2498500,91.16
2014-03-07,97.28,97.41,96.34,97.13,3092100,91.08
2014-03-06,96.05,96.55,95.81,96.27,3111300,90.27
2014-03-05,97.46,97.75,96.77,96.85,3191900,90.14
2014-03-04,96.55,97.67,96.41,97.22,3446300,90.49
2014-03-03,95.79,96.87,95.48,96.05,3544100,89.40
2014-02-28,95.75,97.17,95.75,96.52,4166200,89.84
2014-02-27,95.09,95.55,94.68,95.53,2961300,88.91
2014-02-26,96.00,96.00,94.63,95.20,3907900,88.61
2014-02-25,95.87,96.05,95.11,95.82,3016500,89.18
2014-02-24,96.17,96.58,95.71,96.07,4820800,89.42
2014-02-21,95.32,95.97,94.91,95.39,3851300,88.78
2014-02-20,95.00,95.59,94.75,95.40,3988400,88.79
2014-02-19,96.05,96.50,94.87,94.94,5596700,88.36
2014-02-18,96.10,96.53,95.31,96.28,6042200,89.61
2014-02-14,94.66,96.06,94.27,95.76,9148200,89.13
2014-02-13,91.41,92.51,91.15,92.27,3863800,85.88
2014-02-12,92.08,92.70,91.85,92.19,3490400,85.81
2014-02-11,90.80,92.10,90.73,91.60,3930400,85.26
2014-02-10,90.45,91.12,90.16,90.69,4528000,84.41
2014-02-07,88.80,90.91,88.35,90.59,5149500,84.32
2014-02-06,87.61,88.96,87.61,88.48,5601800,82.35
2014-02-05,87.41,87.78,85.90,87.29,5825400,81.24
2014-02-04,87.42,88.04,86.58,87.14,6447500,81.10
2014-02-03,87.80,88.35,87.17,87.24,6489900,81.20
2014-01-31,87.78,88.73,86.81,87.57,6042000,81.51
2014-01-30,88.74,89.23,86.50,88.30,5755000,82.18
2014-01-29,87.29,88.39,87.00,87.82,4266700,81.74
2014-01-28,87.28,88.55,87.18,88.31,3088300,82.19
2014-01-27,87.95,88.14,86.80,87.09,3736200,81.06
2014-01-24,88.76,88.83,87.59,88.00,4932900,81.91
2014-01-23,90.66,90.66,89.17,89.42,4557600,83.23
2014-01-22,90.52,91.28,89.65,90.96,4089500,84.66
2014-01-21,91.22,91.52,89.38,89.97,5188000,83.74
2014-01-17,91.74,91.96,90.55,90.57,4097000,84.30
2014-01-16,91.33,91.94,91.06,91.77,3935600,85.41
2014-01-15,92.76,92.87,90.74,91.46,5095800,85.13
2014-01-14,91.93,92.36,91.47,92.31,4567300,85.92
2014-01-13,93.36,94.10,91.45,91.54,5367100,85.20
2014-01-10,95.05,95.08,93.41,93.85,3549500,87.35
2014-01-09,94.84,95.12,94.07,94.84,3261400,88.27
2014-01-08,94.99,95.40,94.20,94.79,3668300,88.23
2014-01-07,94.57,95.69,94.09,95.55,3846000,88.93
2014-01-06,93.86,94.11,93.20,93.80,3310200,87.30
2014-01-03,93.91,94.25,92.88,93.52,2967600,87.04
2014-01-02,94.51,94.84,93.41,93.85,2868200,87.35
2013-12-31,94.95,95.32,94.23,95.10,2802600,88.51
2013-12-30,94.64,95.32,94.35,94.55,2323900,88.00
2013-12-27,94.16,94.95,93.88,94.85,2085800,88.28
2013-12-26,93.47,94.11,93.13,94.03,2133900,87.52
2013-12-24,93.24,93.54,92.66,93.48,994800,87.01
2013-12-23,93.41,93.88,93.17,93.23,2331400,86.77
2013-12-20,92.80,93.52,92.54,92.80,5178700,86.37
2013-12-19,91.87,93.13,91.50,92.93,4410600,86.49
2013-12-18,90.75,92.34,90.39,92.26,5049600,85.87
2013-12-17,90.95,90.96,90.13,90.21,4770600,83.96
2013-12-16,91.32,91.83,90.73,90.95,3794700,84.65
2013-12-13,91.24,91.49,90.63,91.11,3449500,84.80
2013-12-12,91.44,92.12,90.98,91.24,4444900,84.92
2013-12-11,92.36,92.79,91.33,91.54,4817000,85.20
2013-12-10,93.15,93.20,92.45,92.49,4242200,86.08
2013-12-09,92.57,93.78,92.37,93.14,5271800,86.69
2013-12-06,93.94,94.54,92.54,92.65,4398200,86.23
2013-12-05,94.40,94.44,93.36,93.43,4762000,86.36
2013-12-04,94.30,95.06,93.75,94.59,4166400,87.44
2013-12-03,94.73,95.60,94.06,94.30,5067900,87.17
2013-12-02,95.13,95.39,94.08,94.76,3208500,87.59
2013-11-29,95.21,95.95,94.52,94.96,2347000,87.78
2013-11-27,97.49,97.60,94.79,95.20,4703300,88.00
2013-11-26,97.49,98.09,97.05,97.63,2616500,90.25
2013-11-25,99.31,99.31,97.30,97.47,3975300,90.10
2013-11-22,98.77,99.42,97.96,99.37,3143000,91.85
2013-11-21,97.50,98.72,97.13,98.65,2748000,91.19
2013-11-20,97.13,97.80,96.79,97.18,2935600,89.83
2013-11-19,96.90,97.33,96.01,96.90,2928900,89.57
2013-11-18,97.60,97.76,96.66,97.08,2825900,89.74
2013-11-15,97.57,97.76,96.80,97.54,3484400,90.16
2013-11-14,97.02,97.65,96.48,97.48,3448300,90.11
2013-11-13,95.29,97.04,95.10,97.00,3386400,89.66
2013-11-12,96.67,96.83,95.34,95.64,3176600,88.41
2013-11-11,96.46,97.08,96.17,97.01,2377000,89.67
2013-11-08,95.71,96.47,95.56,96.33,4996000,89.04
2013-11-07,96.71,96.89,95.42,95.85,4027100,88.60
2013-11-06,97.06,97.49,96.03,97.01,3678600,89.67
2013-11-05,97.37,97.37,96.23,96.69,3855700,89.38
2013-11-04,96.23,97.82,95.93,97.73,4406100,90.34
2013-11-01,96.05,96.27,94.59,95.65,3232700,88.42
2013-10-31,96.20,97.24,95.39,96.08,3726200,88.81
2013-10-30,96.87,97.97,95.14,96.06,4063000,88.79
2013-10-29,97.88,98.00,96.00,96.48,5340900,89.18
2013-10-28,96.88,97.79,95.51,97.54,3529600,90.16
2013-10-25,96.90,97.08,96.09,96.88,2376800,89.55
2013-10-24,95.96,97.31,95.49,97.03,2332600,89.69
2013-10-23,97.25,97.28,95.41,95.66,3785400,88.42
2013-10-22,97.39,97.99,96.81,97.82,3767500,90.42
2013-10-21,98.21,98.21,96.76,97.05,3742000,89.71
2013-10-18,98.54,98.70,96.21,98.29,7136000,90.86
2013-10-17,96.80,98.08,96.67,98.08,3702300,90.66
2013-10-16,95.99,97.24,95.69,96.97,4145700,89.64
2013-10-15,95.55,96.30,95.03,95.23,3190000,88.03
2013-10-14,94.99,95.94,94.61,95.71,2475200,88.47
2013-10-11,94.67,95.81,94.24,95.49,2811900,88.27
